"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HQCN99HI","journalArticle","2021","Weigold, Arne; Weigold, Ingrid K.; Dykema, Stephanie A.; Drakeford, Naomi M.; Martin-Wagar, Caitlin A.","Computerized Device Equivalence: A Comparison of Surveys Completed Using A Smartphone, Tablet, Desktop Computer, and Paper-and-Pencil","International Journal of Human-Computer Interaction","","","10.1080/10447318.2020.1848159","","There is a limited body of experimental research examining the comparability of completing self-report surveys using different computerized devices. Additionally, available literature has not used complete or optimal procedures for determining device equivalence. The current study examined the comparability of surveys completed using paper-and-pencil and three popular devices: smartphone, tablet, and desktop computer. Participants consisted of 211 college students randomly assigned to conditions who completed measures of personality, social desirability, and computer self-efficacy. Results showed evidence of qualitative equivalence (internal consistency and subscale intercorrelations) across conditions. For quantitative and auxiliary equivalence, both equivalence testing and Bayesian analyses were conducted. Equivalence testing indicated quantitative (mean score) equivalence, as well as comparability for one aspect of auxiliary equivalence (missing data). Other aspects of auxiliary equivalence (completion time and comfort completing questionnaires) suggested potentially meaningful differences. Bayesian analyses typically replicated these results, with some notable exceptions regarding auxiliary equivalence.","2021","2022-01-08 12:52:53","2022-01-08 12:52:53","","803-814","","8","37","","","","","","","","","","","","","","","","","","","","","VALIDATION; QUALITY; TECHNOLOGY; INTERNET; MOBILE; SELF-EFFICACY; WEB; SOCIAL DESIRABILITY; SHORT FORMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9SCQ9EX","journalArticle","2020","Keusch, Florian; Bähr, Sebastian; Haas, Georg-Christoph; Kreuter, Frauke; Trappmann, Mark","Coverage Error in Data Collection Combining Mobile Surveys With Passive Measurement Using Apps: Data From a German National Survey","Sociological Methods & Research","","","10.1177/0049124120914924","https://doi.org/10.1177/0049124120914924","Researchers are combining self-reports from mobile surveys with passive data collection using sensors and apps on smartphones increasingly more often. While smartphones are commonly used in some groups of individuals, smartphone penetration is significantly lower in other groups. In addition, different operating systems (OSs) limit how mobile data can be collected passively. These limitations cause concern about coverage error in studies targeting the general population. Based on data from the Panel Study Labour Market and Social Security (PASS), an annual probability-based mixed-mode survey on the labor market and poverty in Germany, we find that smartphone ownership and ownership of smartphones with specific OSs are correlated with a number of sociodemographic and substantive variables. The use of weighting techniques based on sociodemographic information available for both owners and nonowners reduces these differences but does not eliminate them.","2020","2022-01-08 12:52:53","2022-01-08 12:52:53","","","","","","","","","","","","","","","","","","","","","","","","","","smartphones; mobile web surveys; passive mobile data collection; coverage error; operating systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G745XGA9","journalArticle","2020","Ha, Louisa,; Zhang, Chenjie; Jiang, Weiwei","Data quality comparison between computers and smartphones in different web survey modes and question formats","Internet Research","","","10.1108/INTR-09-2018-0417","","Purpose Low response rates in web surveys and the use of different devices in entering web survey responses are the two main challenges to response quality of web surveys. The purpose of this study is to compare the effects of using interviewers to recruit participants in computer-assisted self-administered interviews (CASI) vs computer-assisted personal interviews (CAPI) and smartphones vs computers on participation rate and web survey response quality. Design/methodology/approach Two field experiments using two similar media use studies on US college students were conducted to compare response quality in different survey modes and response devices. Findings Response quality of computer entry was better than smartphone entry in both studies for open-ended and closed-ended question formats. Device effect was only significant on overall completion rate when interviewers were present. Practical implications Survey researchers are given guidance how to conduct online surveys using different devices and choice of question format to maximize survey response quality. The benefits and limitations of using an interviewer to recruit participants and smartphones as web survey response devices are discussed. Social implications It shows how computer-assisted self-interviews and smartphones can improve response quality and participation for underprivileged groups. Originality/value This is the first study to compare response quality in different question formats between CASI, e-mailed delivered online surveys and CAPI. It demonstrates the importance of human factor in creating sense of obligation to improve response quality.","2020","2022-01-08 12:52:53","2022-01-08 12:52:53","","1763-1781","","6","30","","","","","","","","","","","","","","","","","","","","","Smartphone; Data quality; DESIGN; FACE-TO-FACE; MAIL; INDICATORS; ONLINE SURVEYS; NONRESPONSE; Computer-assisted personal Interview; Computer-assisted self-interview; Interviewer; Survey mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HXDD5MK","journalArticle","2013","Mavletova, Aigul","Data Quality in PC and Mobile Web Surveys","Social Science Computer Review","","","10.1177/0894439313485201","https://doi.org/10.1177/0894439313485201","The considerable growth in the number of smart mobile devices with a fast Internet connection provides new challenges for survey researchers. In this article, I compare the data quality between two survey modes: self-administered web surveys conducted via personal computer and those conducted via mobile phones. Data quality is compared based on five indicators: (a) completion rates, (b) response order effects, (c) social desirability, (d) non-substantive responses, and (e) length of open answers. I hypothesized that mobile web surveys would result in lower completion rates, stronger response order effects, and less elaborate answers to open-ended questions. No difference was expected in the level of reporting in sensitive items and in the rate of non-substantive responses. To test the assumptions, an experiment with two survey modes was conducted using a volunteer online access panel in Russia. As expected, mobile web was associated with a lower completion rate, shorter length of open answers, and similar level of socially undesirable and non-substantive responses. However, no stronger primacy effects in mobile web survey mode were found.","2013","2022-01-08 12:52:53","2022-01-08 12:52:53","","725-743","","6","31","","","","","","","","","","","","","","","","","","","","","Data analysis; Quality; Mobile Devices; Internet; Smartphones; Education--Computer Applications; data quality; Polls & surveys; mobile devices; Internet access; Surveys; mobile web surveys; BIAS; personal computers; web surveys; METAANALYSIS; Microcomputers; social desirability; Data Collection; MODE; NONRESPONSE; Russia; Comparative studies; SENSITIVE QUESTIONS; computer methods, media, & applications; 0188: methodology and research technology; article; Methodology (Data Collection); Data Quality; RESPONSE RATES; Social Desirability; Volunteers; web surveys mobile web surveys data quality completion rates response order effects primacy effects social desirability non-substantive responses length of open-ended questions; completion rates; AUDIO; length of open-ended questions; non-substantive responses; primacy effects; response order effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3ILWKQ5","journalArticle","2018","Antoun, Christopher; Katz, Jonathan; Argueta, Josef; Wang, Lin","Design Heuristics for Effective Smartphone Questionnaires","Social Science Computer Review","","","10.1177/0894439317727072","","Design principles for survey questionnaires viewed on desktop and laptop computers are increasingly being seen as inadequate for the design of questionnaires viewed on smartphones. Insights gained from empirical research can help those conducting mobile surveys to improve their questionnaires. This article reports on a systematic literature review of research presented or published between 2007 and 2016 that evaluated the effect of smartphone questionnaire design features on indicators of response quality. The evidence suggests that survey designers should make efforts to ?optimize? their questionnaires to make them easier to complete on smartphones, fit question content to the width of smartphone screens to prevent horizontal scrolling, and choose simpler types of questions (single-choice questions, multiple-choice questions, text-entry boxes) over more complicated types of questions (large grids, drop boxes, slider questions). Based on these results, we identify design heuristics, or general principles, for creating effective smartphone questionnaires. We distinguish between five of them: readability, ease of selection, visibility across the page, simplicity of design elements, and predictability across devices. They provide an initial framework by which to evaluate smartphone questionnaires, though empirical testing and further refinement of the heuristics is necessary.","2018","2022-01-08 12:52:53","2022-01-08 12:52:53","","557-574","","5","36","","","","","","","","","","","","","","","","","","","","","Literature reviews; Visibility; Smartphones; Education--Computer Applications; Polls & surveys; Questionnaires; QUALITY; Design; mobile web surveys; response quality; COMPUTER; smartphone surveys; PC; Research design; Heuristic; DEVICE AFFECT; MOBILE WEB SURVEY; PANEL; questionnaire design; SCALES; SLIDER; Scrolling; Boxes; Screens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9XU4SER","journalArticle","2016","Mavletova, Aigul; Couper, Mick P.","Device use in web surveys: The effect of differential incentives","International Journal of Market Research","","","10.2501/IJMR-2016-034","http://www.redi-bw.de/db/ebsco.php/search.ebscohost.com/login.aspx%3fdirect%3dtrue%26db%3dpsyh%26AN%3d2017-05795-002%26site%3dehost-live","This study should be considered as a preliminary exploration of the effect of differential incentives on participation rates, the proportion of mobile respondents, and sample composition in web surveys. The experiment has some limitations, which should be taken into consideration in subsequent studies. First, the experiment is based on a sample of frequent mobile web users, and the results could be different from a sample of those who use mobile internet less frequently. Second, the experiment is based on a volunteer online access panel and the results could be different in a representative online panel. Third, we tested the differential incentives starting with incentives 50% higher than typical incentives. We suggest that it is worth exploring the effect of other incentives (e.g. 20% or 30% higher). Finally, we suggest that it is worth exploring the difference in participation rates between the conditions in which higher-than-typical incentives would be offered for all participants and when offered only for using a particular device. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","2016","2022-01-08 12:52:53","2022-01-08 12:52:53","","523-544","","4","58","","","","","","","","","","","","","","","","","","","","","Marketing; Mobile Devices; Incentives; Internet; mobile devices; Surveys; market research; web surveys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQYC2LKS","journalArticle","2017","Mendelson, Jonathan; Gibson, Jennifer L.; Romano-Bergstrom, Jennifer","Displaying Videos in Web Surveys: Implications for Complete Viewing and Survey Responses","Social Science Computer Review","","","10.1177/0894439316662439","https://doi.org/10.1177/0894439316662439","Videos are often used in web surveys to assess attitudes. While including videos may allow researchers to test immediate reactions, there may be issues associated with displaying videos that are overlooked. In this article, we examine the effects of using video stimuli on responses in a probability-based web survey. Specifically, we evaluate the association between demographics, mobile device usage, and the ability to view videos; differences in ad recall based on whether respondents saw a video or still images of the video; whether respondents? complete viewing of videos is related to presentation order; and the data quality of follow-up questions to the videos as a function of presentation order and complete viewing. Overall, we found that respondents using mobile browsers were less likely to be able to view videos in the survey. Those who could view videos were more likely to indicate recall compared to those who viewed images, and videos that were shown later in the survey were viewed in their entirety less frequently than those shown earlier. These results directly pertain to the legitimacy of using videos in web surveys to gather data about attitudes.","2017","2022-01-08 12:52:53","2022-01-08 12:52:53","","654-665","","5","35","","","","","","","","","","","","","","","","","","","","","Mobile Devices; data quality; Test Construction; Surveys; web surveys; advertising; Attitude Measures; Digital Video; measurement; Video Display Units; videos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KTE2MFE","journalArticle","2019","Bosch, Oriol J.; Revilla, Melanie; Paura, Ezequiel","Do Millennials differ in terms of survey participation?:","International Journal of Market Research","","","10.1177/1470785318815567","https://journals.sagepub.com/doi/full/10.1177/1470785318815567","Millennials have been the focus of quite some research because of their differences with older cohorts. Besides, young respondents have been considered as a hard target population for surveys. Howe...","2019-12","2022-01-08 12:52:53","2022-01-08 12:52:53","","359-365","","4","61","","","","","","","","","","","","","","","","","Publisher: SAGE PublicationsSage UK: London, England","","","","smartphones; Millennials; survey participation; survey evaluation; break-off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LJUQN4L","journalArticle","2016","Revilla, Melanie; Toninelli, Daniele; Ochoa, Carlos; Loewe, Germán","Do online access panels need to adapt surveys for mobile devices?","Internet Research","","","10.1108/IntR-02-2015-0032","","Purpose - Despite the quick spread of the use of mobile devices in survey participation, there is still little knowledge about the potentialities and challenges that arise from this increase. The purpose of this paper is to study how respondents' preferences drive their choice of a certain device when participating in surveys. Furthermore, this paper evaluates the tolerance of participants when specifically asked to use mobile devices and carry out other specific tasks, such as taking photographs. Design/methodology/approach - Data were collected by surveys in Spain, Portugal and Latin America by Netquest, an online fieldwork company. Findings - Netquest panellists still mainly preferred to participate in surveys using personal computers. Nevertheless, the use of tablets and smartphones in surveys showed an increasing trend; more panellists would prefer mobile devices, if the questionnaires were adapted to them. Most respondents were not opposed to the idea of participating in tasks such as taking photographs or sharing GPS information. Research limitations/implications - The research concerns an opt-in online panel that covers a specific area. For probability-based panels and other areas the findings may be different. Practical implications - The findings show that online access panels need to adapt their surveys to mobile devices to satisfy the increasing demand from respondents. This will also allow new, and potentially very interesting data collection methods. Originality/value - This study contributes to survey methodology with updated findings focusing on a currently underexplored area. Furthermore, it provides commercial online panels with useful information to determine their future strategies.","2016","2022-01-08 12:52:53","2022-01-08 12:52:53","","1209-1227","","5","26","","","","","","","","","","","","","","","","","","","","","Survey; Methodology; ADOPTION; World Wide Web; PC; WEB SURVEYS; COMPUTERS; Mobile communications; Netquest; Technological innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QD3UVTJX","journalArticle","2019","Hartman, John D.; Craig, Benjamin M.","Does Device or Connection Type Affect Health Preferences in Online Surveys?","The Patient-Patient-Centered Outcomes Research","","","10.1007/s40271-019-00380-z","","Background and Objective Recent evidence has shown that online surveys can reliably collect preference data, which markedly decrease the cost of health preference studies and expand their representativeness. As the use of mobile technology continues to grow, we wanted to examine its potential impact on health preferences. Methods Two recently completed discrete choice experiments using members of the US general population (n = 15,292) included information on respondent device (cell phone, tablet, Mac, PC) and internet connection (business, cellular, college, government, residential). In this analysis, we tested for differences in respondent characteristics, participation, response quality, and utility values for the 5-level EQ-5D (EQ-5D-5L) by device and connection. Results Compared to Mac and PC users, respondents using a cell phone or tablet had longer completion times and were significantly more likely to drop out during the surveys (p < 0.001). Tablet users also demonstrated more logical inconsistencies (p = 0.05). Likewise, respondents using a cellular internet connection exhibit significantly less consistency in their health preferences. However, matched samples for tablets and cell phones produced similar EQ-5D-5L utility values (mean differences < 0.06 on a quality-adjusted life-year [QALY] scale for all potential health states). Conclusion Allowing respondents to complete online surveys using a cell phone or tablet or over a cellular connection substantially increases the diversity of respondents and the likelihood of obtaining a representative sample, as many individuals have cell phones but not a computer. While the results showed systematic variability in participation and response quality by device and connection type, this study did not show any meaningful changes in utility values.","2019","2022-01-08 12:52:53","2022-01-08 12:52:53","","639-650","","6","12","","","","","","","","","","","","","","","","","","","","","PROBABILITY-BASED PANEL; SMARTPHONES; DATA QUALITY; MOBILE WEB; SENSITIVE TOPICS; WEB SURVEYS; DISCRETE-CHOICE EXPERIMENTS; LOGICAL INCONSISTENCIES; PROPENSITY SCORE; STATE VALUATIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJXSIANY","journalArticle","2019","Gummer, Tobias; Quoß, Franziska; Roßmann, Joss","Does Increasing Mobile Device Coverage Reduce Heterogeneity in Completing Web Surveys on Smartphones?","Social Science Computer Review","","","10.1177/0894439318766836","https://doi.org/10.1177/0894439318766836","Mobile coverage recently has reached an all-time high, and in most countries, high-speed Internet connections are widely available. Due to technological development, smartphones and tablets have become increasingly popular. Accordingly, we have observed an increasing use of mobile devices to complete web surveys and, hence, survey methodologists have shifted their attention to the challenges that stem from this development. The present study investigated whether the growing use of smartphones has decreased how systematically this choice of device varies between groups of respondents (i.e., how selective smartphone usage for completing web surveys is). We collected a data set of 18,520 respondents from 18 web surveys that were fielded in Germany between 2012 and 2016. Based on these data, we show that while the use of smartphones to complete web surveys has considerably increased over time, selectivity with respect to using this device has remained stable.","2019","2022-01-08 12:52:54","2022-01-08 12:52:54","","371-384","","3","37","","","","","","","","","","","","","","","","","","","","","Mobile Devices; Internet; Smartphones; Education--Computer Applications; smartphones; Electronic devices; Polls & surveys; mobile devices; Surveys; BIAS; smartphone; Mobile communication systems; Tablet computers; web surveys; Choice Behavior; device choice; Microcomputers; PROBABILITY-BASED PANEL; DATA QUALITY; survey error; PC; TABLETS; IMPROVING RESPONSE; selectivity; Technological change; Focus groups; Selectivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFTC7PSZ","journalArticle","2015","Liebe, Ulf; Glenk, Klaus; Oehlmann, Malte; Meyerhoff, Jürgen","Does the use of mobile devices (tablets and smartphones) affect survey quality and choice behaviour in web surveys?","Journal of choice modelling","","","10.1016/j.jocm.2015.02.002","","Web surveys are becoming increasingly popular in survey research including stated preference surveys. Compared with face-to-face, telephone and mail surveys, web surveys may contain a different and new source of measurement error and bias: the type of device that respondents use to answer the survey questions. This is the first study that tests whether the use of mobile devices, tablets or smartphones, affects survey characteristics and stated preferences in a web-based choice experiment. The web survey on expanding renewable energy production in Germany was carried out with 3182 respondents, of which 12% used a mobile device. Propensity score matching is used to account for selection bias in the use of mobile devices for survey completion. We find that mobile device users spent more time than desktop/laptop users to answer the survey. Yet, desktop/laptop users and mobile device users do not differ in acquiescence tendency as an indicator of extreme response patterns. For mobile device users only, we find a negative correlation between screen size and interview length and a positive correlation between screen size and acquiescence tendency. In the choice experiment data, we do not find significant differences in the tendency to choose the status quo option and scale between both subsamples. However, some of the estimates of implicit prices differ, albeit not in a unidirectional fashion. Model results for mobile device users indicate a U-shaped relationship between error variance and screen size. Together, the results suggest that using mobile devices is not detrimental to survey quality. (C) 2015 Elsevier Ltd. All rights reserved.","2015","2022-01-08 12:52:54","2022-01-08 12:52:54","","17-31","","","14","","","","","","","","","","","","","","","","","","","","","Smartphone; SCALE; INTERNET; Mobile device; Choice experiment; Renewable energy; FACE-TO-FACE; Propensity score matching; Survey quality; Acquiescence bias; COMPLEXITY; Sample selection bias; Survey format; VALUATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KB9UYZR","journalArticle","2020","Trübner, Miriam","Effects of Header Images on Different Devices in Web Surveys","Survey Research Methods","","","10.18148/srm/2020.v14i1.7367","","Header images are typically included in web surveys to make surveys more appealing for respondents. However, headers might also induce a systematic bias in response behavior. In order to examine both the potential effects (more specifically, effects on motivation and context effects) of header images with respondents using different devices, an experiment embedded in a web survey on students' time use and stress was conducted using a probability sample of 1,326 students at the University of Bonn. Respondents were presented either with a picture of an auditorium with students sitting in a class, a picture of leisure activities on campus, or no picture, respectively. To control for position effects, pictures were placed either in the upper right or upper left of the questionnaire. The results indicate that header images attract attention in the beginning of a survey, but do not significantly increase motivation over the course of the survey. When faced with a header picture, respondents in the picture conditions evaluate their time in class differently compared to respondents in the control group. While the device providing the visibility makes no difference, effects are only significant when the picture is placed on the left side of the screen. In sum, the interaction of header placement and the content-related proximity of header content and question may alter response behavior.","2020","2022-01-08 12:52:54","2022-01-08 12:52:54","","43-53","","1","14","","","","","","","","","","","","","","","","","","","","","EXPOSURE; web surveys; Context effects; device effects; header images; SURVEY PARTICIPATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4U7EUWX","journalArticle","2017","Antoun, Christopher; Couper, Mick P.; Conrad, Frederick G.","EFFECTS OF MOBILE VERSUS PC WEB ON SURVEY RESPONSE QUALITY: A CROSSOVER EXPERIMENT IN A PROBABILITY WEB PANEL.","Public Opinion Quarterly","","","","","Survey participants are increasingly responding to Web surveys on their smartphones as opposed to their personal computers (PCs), and this change brings with it some potential data-quality issues. This study reports on a randomized crossover experiment to compare the effect of two different devices, smartphones and PCs, on response quality in a Web survey conducted in a probability-based panel. Participants (n = 1,390) were invited to complete an online questionnaire on both a smartphone (mobile Web) and PC (PC Web) in sequence. We hypothesized that smartphone use would result in lower-quality responses because people are more likely to use smartphones while multitasking or while around other people and because they could have difficulty recording their answers using a small touchscreen. While we found that respondents who participated in this study were more likely to multitask and more likely to be around other people when using smartphones, these factors had little impact on data quality. Respondents were at least as likely to provide conscientious and thoughtful answers and to disclose sensitive information on smartphones as on PCs. When using smartphones, however, respondents seemed to have trouble accurately moving a small-sized slider handle and a date-picker wheel to the intended values. Overall, we find that people using smartphones can provide high-quality responses, even when their context is more distracting, as long as they are presented with question formats that are easy to use on small touchscreens. [ABSTRACT FROM AUTHOR]","2017","2022-01-08 12:52:54","2022-01-08 12:52:54","","280-306","","S1","81","","","","","","","","","","","","","","","","","","","","","Respondents; Smartphones; Data quality; INTERNET; COMPUTER; Personal computers; Internet surveys; Probability theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGH86AB2","journalArticle","2015","Arn, Birgit; Klug, Stefan; Kolodziejski, Janusz","Evaluation of an adapted design in a multi-device online panel: a DemoSCOPE case study","methods, data, analyses","","","","","""In this paper, we look at the challenge of optimizing survey layout in online research to enable multi-device use. Several studies provide useful advice on target-oriented implementation of web design for CAWI surveys. This paper presents results of the implementation of a new adapted design at the panel of DemoSCOPE that allows the participants to take part in a survey on multiple (especially mobile) devices. To evaluate this adapted design, we compare interview data and question timing of panellists who participated in an insurance study before and after the design transition. Central key figures concerning the completion rate, item non-response, open questions, straightlining, timing of single questions and the length of the total interview are presented. In addition, we have presented examples of both old and new design to the community and invited them to assess these examples concerning orientation, color, design and usability. We evaluate the differences in these assessments before and after the design transition for smartphone and desktop users. We end with suggestions for best practice for online studies on different devices."" (author's abstract)","2015","2022-01-08 12:52:54","2022-01-08 12:52:54","","185-212","","2","9","","","","","","","","","","","","","","","","","","","","","survey research; Umfrageforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y95MXZX6","journalArticle","2019","Lee, Hana; Kim, Sunwoong; Couper, Mick P.; Woo, Youngje","Experimental comparison of PC web, smartphone web, and telephone surveys in the new technology era","Social Science Computer Review","","","10.1177/0894439318756867","http://www.redi-bw.de/db/ebsco.php/search.ebscohost.com/login.aspx%3fdirect%3dtrue%26db%3dpsyh%26AN%3d2019-13380-006%26site%3dehost-live","Smartphones have become very popular globally, and smartphone ownership has overtaken conventional cell phone ownership in many countries in recent years. With this rapid rise in smartphone penetration, researchers are looking at ways to conduct web surveys using smartphones. This is particularly true of student populations where smartphone penetration is very high and web surveys are already the norm. However, researchers are raising concerns about selection biases and measurement differences between PC and smartphone respondents. Questions also remain about comparisons to traditional interviewer-administered approaches. We designed an experimental comparison between a PC web survey, a smartphone web survey and a computer-assisted telephone interviewing (CATI) survey. This study was conducted using an annual survey of students at a large university in South Korea. The CATI (interviewer-administered) survey had a higher response rate, lower margins of error, and better representation of the student population than the two web (self-administered) modes, but at a higher cost. The CATI survey also had lower rates of item nonresponse. More significant differences were found between the modes for sensitive questions than for nonsensitive ones. This suggests that CATI surveys may still have a role to play in surveys of college students, even in a country with high rates of mobile technology adoption. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","2019","2022-01-08 12:52:54","2022-01-08 12:52:54","","234-247","","2","37","","","","","","","","","","","","","","","","","","","","","Smartphones; telephone survey; coverage; Computers; Online Surveys; College Students; response rate; measurement error; completion times; Error of Measurement; item nonresponse; smartphone survey; survey costs; Telephone Surveys; Test Administration; web survey; FACE-TO-FACE; SENSITIVE TOPICS; ALCOHOL; MODE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTKDU9U5","conferencePaper","2017","Wang, Lin; Antoun, Christopher; Sanders, Russell; Nichols, Elizabeth; Hawala, Erica L.; Falcone, Brian; Figueroa, Ivonne J.; Katz, Jonathan","Experimentation for developing evidence-based ui standards of mobile survey questionnaires","","978-1-4503-4656-6","","10.1145/3027063.3053181","http://dx.doi.org/10.1145/3027063.3053181","With the growing use of smartphones, many surveys can now be administered using those phones. Such questionnaires are called mobile survey questionnaires. The designer of a mobile survey questionnaire is challenged with presenting text and controls on a small display, while allowing respondents to correctly understand and answer questions with ease. To address this challenge, we are developing an evidencebased framework of user interface design for mobile survey questionnaires. The framework includes two parts: standards for the basic elements of surveyrelevant mobile device operation and guidelines for the building blocks of mobile survey questionnaires. In this presentation, we will describe five behavioral experiments designed to collect evidence for developing the standards. These experiments cover visual perception and motor actions relevant to survey completion. Some preliminary results from ongoing data collection are presented.","2017-05","2022-01-08 12:52:54","2022-01-08 12:52:54","","2998-3004","","","Part F127655","","","","","","","","Association for Computing Machinery","New York","","","","","","","","","","","","Framework; Standards; Usability; Mobile survey; Usability ACM Classification Keywords H52 User Interfaces: Human Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","","","","","","","","","","","","","","",""
"C3XWNPUC","journalArticle","2010","Peytchev, Andy; Hill, Craig A.","Experiments in Mobile Web Survey Design: Similarities to Other Modes and Unique Considerations","Social Science Computer Review","","","10.1177/0894439309353037","https://doi.org/10.1177/0894439309353037","Self-administered surveys can be conducted on mobile web-capable devices, yet these devices have unique features that can affect response processes. Ninety-two adults were randomly selected and provided with mobile devices to complete weekly web surveys. Experiments were designed to address three main objectives. First, the authors test fundamental findings which have been found robust across other modes, but whose impact may be diminished in mobile web surveys (due largely to the device), by manipulating question order and scale frequencies. Second, the authors test findings from experiments in computer-administered web surveys, altering the presentation of images and the number of questions per page. Third, the authors experiment with the unique display, navigation, and input methods, through the need to scroll, the vertical versus horizontal orientation of scales, and the willingness to provide open-ended responses. Although most findings from other modes are upheld, the small screen and keyboard introduce undesirable differences in responses.","2010","2022-01-08 12:52:54","2022-01-08 12:52:54","","319-335","","3","28","","","","","","","","","","","","","","","","","","","","","Data collection; Internet; Smartphones; Education--Computer Applications; smartphones; Polls & surveys; mobile devices; Surveys; mobile web surveys; cell phones; CONTEXT; QUESTIONS; Product design; DATA-COLLECTION; computer methods, media, & applications; survey design; SCREEN SIZE; 0188: methodology and research technology; article; mobile devices cell phones smartphones survey design mobile web surveys; Personal digital assistants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU9FQGFS","journalArticle","2015","Gummer, Tobias; Roßmann, Joss","Explaining Interview Duration in Web Surveys: A Multilevel Approach","Social Science Computer Review","","","10.1177/0894439314533479","https://doi.org/10.1177/0894439314533479","Interview duration is an important variable in web surveys because it is a direct measure of the response burden. In this article, we analyze the effects of the survey design, respondent characteristics, and the interaction between these effects on interview duration. For that purpose, we applied multilevel analysis to a data set of 21 web surveys on political attitudes and behavior. Our results showed that factors on both levels, the individual and the survey level, had effects on interview duration. However, the larger share of the variation in interview duration is explained by the characteristics of the respondents. In this respect, we illustrate the impact of mobile devices and panel recruitment on interview duration. In addition, we found important relationships between the respondents? attitudes and how a web survey is designed: Highly motivated respondents spent significantly more time answering cognitively demanding questions than less motivated respondents. When planning a survey, not only the number and formats of questions need to be taken into account but also the expected sample composition and how the participants will respond to the design of the web survey.","2015","2022-01-08 12:52:54","2022-01-08 12:52:54","","217-234","","2","33","","","","","","","","","","","","","","","","","","","","","Data analysis; Web services; Research methodology; Internet; Education--Computer Applications; mobile devices; Mobile Phones; Interviews; Political Attitudes; AGE; EXPERIENCE; DESIGN; interview duration; multilevel analysis; online panels; web survey design; DATA QUALITY; INDICATORS; LENGTH; RESPONSE-TIMES; Political behavior; BURDEN; ORDER; SURVEY QUESTIONS; Attitude surveys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
